"N","24"
"D#:(1)/#2","6  3"
"E:(1)/#2","7  4"
"Eb:(1)/#2","6  3"
"E#:(1)/#2","8  5"
"F:(1)/#2","8  5"
"Fb:(1)/#2","7  4"
"F#:(1)/#2","9  6"
"G:(1)/#2","10   7"
"Gb:(1)/#2","9  6"
"G#:(1)/#2","11   8"
"A:(1)/#2","0  9"
"Ab:(1)/#2","11   8"
"A#:(1)/#2","1  10"
"B:(1)/#2","2  11"
"Bb:(1)/#2","1  10"
"B#:(1)/#2","3  0"
"C:(1)/#3","5  0"
"Cb:(1)/#3","4  11"
"C#:(1)/#3","6  1"
"D:(1)/#3","7  2"
"Db:(1)/#3","6  1"
"D#:(1)/#3","8  3"
"E:(1)/#3","9  4"
"Eb:(1)/#3","8  3"
"E#:(1)/#3","10   5"
"F:(1)/#3","10   5"
"Fb:(1)/#3","9  4"
"F#:(1)/#3","11   6"
"G:(1)/#3","0  7"
"Gb:(1)/#3","11   6"
"G#:(1)/#3","1  8"
"A:(1)/#3","2  9"
"Ab:(1)/#3","1  8"
"A#:(1)/#3","3  10"
"B:(1)/#3","4  11"
"Bb:(1)/#3","3  10"
"B#:(1)/#3","5  0"
"C:(1)/#4","6  0"
"Cb:(1)/#4","5  11"
"C#:(1)/#4","7  1"
"D:(1)/#4","8  2"
"Db:(1)/#4","7  1"
"D#:(1)/#4","9  3"
"E:(1)/#4","10   4"
"Eb:(1)/#4","9  3"
"E#:(1)/#4","11   5"
"F:(1)/#4","11   5"
"Fb:(1)/#4","10   4"
"F#:(1)/#4","0  6"
"G:(1)/#4","1  7"
"Gb:(1)/#4","0  6"
"G#:(1)/#4","2  8"
"A:(1)/#4","3  9"
"Ab:(1)/#4","2  8"
"A#:(1)/#4","4  10"
"B:(1)/#4","5  11"
"Bb:(1)/#4","4  10"
"B#:(1)/#4","6  0"
"C:(1)/#5","8  0"
"Cb:(1)/#5","7  11"
"C#:(1)/#5","9  1"
"D:(1)/#5","10   2"
"Db:(1)/#5","9  1"
"D#:(1)/#5","11   3"
"E:(1)/#5","0  4"
"Eb:(1)/#5","11   3"
"E#:(1)/#5","1  5"
"F:(1)/#5","1  5"
"Fb:(1)/#5","0  4"
"F#:(1)/#5","2  6"
"G:(1)/#5","3  7"
"Gb:(1)/#5","2  6"
"G#:(1)/#5","4  8"
"A:(1)/#5","5  9"
"Ab:(1)/#5","4  8"
"A#:(1)/#5","6  10"
"B:(1)/#5","7  11"
"Bb:(1)/#5","6  10"
"B#:(1)/#5","8  0"
"C:(1)/#6","10   0"
"Cb:(1)/#6","9  11"
"C#:(1)/#6","11   1"
"D:(1)/#6","0  2"
"Db:(1)/#6","11   1"
"D#:(1)/#6","1  3"
"E:(1)/#6","2  4"
"Eb:(1)/#6","1  3"
"E#:(1)/#6","3  5"
"F:(1)/#6","3  5"
"Fb:(1)/#6","2  4"
"F#:(1)/#6","4  6"
"G:(1)/#6","5  7"
"Gb:(1)/#6","4  6"
"G#:(1)/#6","6  8"
"A:(1)/#6","7  9"
"Ab:(1)/#6","6  8"
"A#:(1)/#6","8  10"
"B:(1)/#6","9  11"
"Bb:(1)/#6","8  10"
"B#:(1)/#6","10   0"
"C:(1)/#7","0  0"
"Cb:(1)/#7","11  11"
"C#:(1)/#7","1  1"
"D:(1)/#7","2  2"
"Db:(1)/#7","1  1"
"D#:(1)/#7","3  3"
"E:(1)/#7","4  4"
"Eb:(1)/#7","3  3"
"E#:(1)/#7","5  5"
"F:(1)/#7","5  5"
"Fb:(1)/#7","4  4"
"F#:(1)/#7","6  6"
"G:(1)/#7","7  7"
"Gb:(1)/#7","6  6"
"G#:(1)/#7","8  8"
"A:(1)/#7","9  9"
"Ab:(1)/#7","8  8"
"A#:(1)/#7","10  10"
"B:(1)/#7","11  11"
"Bb:(1)/#7","10  10"
"B#:(1)/#7","0  0"
"C:(1)/#9","3  0"
"Cb:(1)/#9","2  11"
"C#:(1)/#9","4  1"
"D:(1)/#9","5  2"
"Db:(1)/#9","4  1"
"D#:(1)/#9","6  3"
"E:(1)/#9","7  4"
"Eb:(1)/#9","6  3"
"E#:(1)/#9","8  5"
"F:(1)/#9","8  5"
"Fb:(1)/#9","7  4"
"F#:(1)/#9","9  6"
"G:(1)/#9","10   7"
"Gb:(1)/#9","9  6"
"G#:(1)/#9","11   8"
"A:(1)/#9","0  9"
"Ab:(1)/#9","11   8"
"A#:(1)/#9","1  10"
"B:(1)/#9","2  11"
"Bb:(1)/#9","1  10"
"B#:(1)/#9","3  0"
"C#:(1)","1"
"Cb#:(1)","0"
"C##:(1)","0"
"D#:(1)","3"
"Db#:(1)","2"
"D##:(1)","2"
"E#:(1)","5"
"Eb#:(1)","4"
"E##:(1)","4"
"F#:(1)","6"
"Fb#:(1)","5"
"F##:(1)","5"
"G#:(1)","8"
"Gb#:(1)","7"
"G##:(1)","7"
"A#:(1)","10"
"Ab#:(1)","9"
"A##:(1)","9"
"B#:(1)","0"
"Bb#:(1)","11"
"B##:(1)","11"
"C#:(1)/1","1  1"
"Cb#:(1)/1","0  0"
"C##:(1)/1","0  0"
"D#:(1)/1","3  3"
"Db#:(1)/1","2  2"
"D##:(1)/1","2  2"
"E#:(1)/1","5  5"
"Eb#:(1)/1","4  4"
"E##:(1)/1","4  4"
"F#:(1)/1","6  6"
"Fb#:(1)/1","5  5"
"F##:(1)/1","5  5"
"G#:(1)/1","8  8"
"Gb#:(1)/1","7  7"
"G##:(1)/1","7  7"
"A#:(1)/1","10  10"
"Ab#:(1)/1","9  9"
"A##:(1)/1","9  9"
"B#:(1)/1","0  0"
"Bb#:(1)/1","11  11"
"B##:(1)/1","11  11"
"C#:(1)/2","3  1"
"Cb#:(1)/2","2  0"
"C##:(1)/2","2  0"
"D#:(1)/2","5  3"
"Db#:(1)/2","4  2"
"D##:(1)/2","4  2"
"E#:(1)/2","7  5"
"Eb#:(1)/2","6  4"
"E##:(1)/2","6  4"
"F#:(1)/2","8  6"
"Fb#:(1)/2","7  5"
"F##:(1)/2","7  5"
"G#:(1)/2","10   8"
"Gb#:(1)/2","9  7"
"G##:(1)/2","9  7"
"A#:(1)/2","0  10"
"Ab#:(1)/2","11   9"
"A##:(1)/2","11   9"
"B#:(1)/2","2  0"
"Bb#:(1)/2","1  11"
"B##:(1)/2","1  11"
"C#:(1)/3","5  1"
"Cb#:(1)/3","4  0"
"C##:(1)/3","4  0"
"D#:(1)/3","7  3"
"Db#:(1)/3","6  2"
"D##:(1)/3","6  2"
"E#:(1)/3","9  5"
"Eb#:(1)/3","8  4"
"E##:(1)/3","8  4"
"F#:(1)/3","10   6"
"Fb#:(1)/3","9  5"
"F##:(1)/3","9  5"
"G#:(1)/3","0  8"
"Gb#:(1)/3","11   7"
"G##:(1)/3","11   7"
"A#:(1)/3","2  10"
"Ab#:(1)/3","1  9"
"A##:(1)/3","1  9"
"B#:(1)/3","4  0"
"Bb#:(1)/3","3  11"
"B##:(1)/3","3  11"
"C#:(1)/4","6  1"
"Cb#:(1)/4","5  0"
"C##:(1)/4","5  0"
"D#:(1)/4","8  3"
"Db#:(1)/4","7  2"
"D##:(1)/4","7  2"
"E#:(1)/4","10   5"
"Eb#:(1)/4","9  4"
"E##:(1)/4","9  4"
"F#:(1)/4","11   6"
"Fb#:(1)/4","10   5"
"F##:(1)/4","10   5"
"G#:(1)/4","1  8"
"Gb#:(1)/4","0  7"
"G##:(1)/4","0  7"
"A#:(1)/4","3  10"
"Ab#:(1)/4","2  9"
"A##:(1)/4","2  9"
"B#:(1)/4","5  0"
"Bb#:(1)/4","4  11"
"B##:(1)/4","4  11"
"C#:(1)/5","8  1"
"Cb#:(1)/5","7  0"
"C##:(1)/5","7  0"
"D#:(1)/5","10   3"
"Db#:(1)/5","9  2"
"D##:(1)/5","9  2"
"E#:(1)/5","0  5"
"Eb#:(1)/5","11   4"
"E##:(1)/5","11   4"
"F#:(1)/5","1  6"
"Fb#:(1)/5","0  5"
"F##:(1)/5","0  5"
"G#:(1)/5","3  8"
"Gb#:(1)/5","2  7"
"G##:(1)/5","2  7"
"A#:(1)/5","5  10"
"Ab#:(1)/5","4  9"
"A##:(1)/5","4  9"
"B#:(1)/5","7  0"
"Bb#:(1)/5","6  11"
"B##:(1)/5","6  11"
"C#:(1)/6","10   1"
"Cb#:(1)/6","9  0"
"C##:(1)/6","9  0"
"D#:(1)/6","0  3"
"Db#:(1)/6","11   2"
"D##:(1)/6","11   2"
"E#:(1)/6","2  5"
"Eb#:(1)/6","1  4"
"E##:(1)/6","1  4"
"F#:(1)/6","3  6"
"Fb#:(1)/6","2  5"
"F##:(1)/6","2  5"
"G#:(1)/6","5  8"
"Gb#:(1)/6","4  7"
"G##:(1)/6","4  7"
"A#:(1)/6","7  10"
"Ab#:(1)/6","6  9"
"A##:(1)/6","6  9"
"B#:(1)/6","9  0"
"Bb#:(1)/6","8  11"
"B##:(1)/6","8  11"
"C#:(1)/7","0  1"
"Cb#:(1)/7","11   0"
"C##:(1)/7","11   0"
"D#:(1)/7","2  3"
"Db#:(1)/7","1  2"
"D##:(1)/7","1  2"
"E#:(1)/7","4  5"
"Eb#:(1)/7","3  4"
"E##:(1)/7","3  4"
"F#:(1)/7","5  6"
"Fb#:(1)/7","4  5"
"F##:(1)/7","4  5"
"G#:(1)/7","7  8"
"Gb#:(1)/7","6  7"
"G##:(1)/7","6  7"
"A#:(1)/7","9  10"
"Ab#:(1)/7","8  9"
"A##:(1)/7","8  9"
"B#:(1)/7","11   0"
"Bb#:(1)/7","10  11"
"B##:(1)/7","10  11"
"C#:(1)/9","3  1"
"Cb#:(1)/9","2  0"
"C##:(1)/9","2  0"
"D#:(1)/9","5  3"
"Db#:(1)/9","4  2"
"D##:(1)/9","4  2"
"E#:(1)/9","7  5"
"Eb#:(1)/9","6  4"
"E##:(1)/9","6  4"
"F#:(1)/9","8  6"
"Fb#:(1)/9","7  5"
"F##:(1)/9","7  5"
"G#:(1)/9","10   8"
"Gb#:(1)/9","9  7"
"G##:(1)/9","9  7"
"A#:(1)/9","0  10"
"Ab#:(1)/9","11   9"
"A##:(1)/9","11   9"
"B#:(1)/9","2  0"
"Bb#:(1)/9","1  11"
"B##:(1)/9","1  11"
"C#:(1)/b1","0  1"
"Cb#:(1)/b1","11   0"
"C##:(1)/b1","11   0"
"D#:(1)/b1","2  3"
"Db#:(1)/b1","1  2"
"D##:(1)/b1","1  2"
"E#:(1)/b1","4  5"
"Eb#:(1)/b1","3  4"
"E##:(1)/b1","3  4"
"F#:(1)/b1","5  6"
"Fb#:(1)/b1","4  5"
"F##:(1)/b1","4  5"
"G#:(1)/b1","7  8"
"Gb#:(1)/b1","6  7"
"G##:(1)/b1","6  7"
"A#:(1)/b1","9  10"
"Ab#:(1)/b1","8  9"
"A##:(1)/b1","8  9"
"B#:(1)/b1","11   0"
"Bb#:(1)/b1","10  11"
"B##:(1)/b1","10  11"
"C#:(1)/b2","2  1"
"Cb#:(1)/b2","1  0"
"C##:(1)/b2","1  0"
"D#:(1)/b2","4  3"
"Db#:(1)/b2","3  2"
"D##:(1)/b2","3  2"
"E#:(1)/b2","6  5"
"Eb#:(1)/b2","5  4"
"E##:(1)/b2","5  4"
"F#:(1)/b2","7  6"
"Fb#:(1)/b2","6  5"
"F##:(1)/b2","6  5"
"G#:(1)/b2","9  8"
"Gb#:(1)/b2","8  7"
"G##:(1)/b2","8  7"
"A#:(1)/b2","11  10"
"Ab#:(1)/b2","10   9"
"A##:(1)/b2","10   9"
"B#:(1)/b2","1  0"
"Bb#:(1)/b2","0  11"
"B##:(1)/b2","0  11"
"C#:(1)/b3","4  1"
"Cb#:(1)/b3","3  0"
"C##:(1)/b3","3  0"
"D#:(1)/b3","6  3"
"Db#:(1)/b3","5  2"
"D##:(1)/b3","5  2"
"E#:(1)/b3","8  5"
"Eb#:(1)/b3","7  4"
"E##:(1)/b3","7  4"
"F#:(1)/b3","9  6"
"Fb#:(1)/b3","8  5"
"F##:(1)/b3","8  5"
"G#:(1)/b3","11   8"
"Gb#:(1)/b3","10   7"
"G##:(1)/b3","10   7"
"A#:(1)/b3","1  10"
"Ab#:(1)/b3","0  9"
"A##:(1)/b3","0  9"
"B#:(1)/b3","3  0"
"Bb#:(1)/b3","2  11"
"B##:(1)/b3","2  11"
"C#:(1)/b4","5  1"
"Cb#:(1)/b4","4  0"
"C##:(1)/b4","4  0"
"D#:(1)/b4","7  3"
"Db#:(1)/b4","6  2"
"D##:(1)/b4","6  2"
"E#:(1)/b4","9  5"
"Eb#:(1)/b4","8  4"
"E##:(1)/b4","8  4"
"F#:(1)/b4","10   6"
"Fb#:(1)/b4","9  5"
"F##:(1)/b4","9  5"
"G#:(1)/b4","0  8"
"Gb#:(1)/b4","11   7"
"G##:(1)/b4","11   7"
"A#:(1)/b4","2  10"
"Ab#:(1)/b4","1  9"
"A##:(1)/b4","1  9"
"B#:(1)/b4","4  0"
"Bb#:(1)/b4","3  11"
"B##:(1)/b4","3  11"
"C#:(1)/b5","7  1"
"Cb#:(1)/b5","6  0"
"C##:(1)/b5","6  0"
"D#:(1)/b5","9  3"
"Db#:(1)/b5","8  2"
"D##:(1)/b5","8  2"
"E#:(1)/b5","11   5"
"Eb#:(1)/b5","10   4"
"E##:(1)/b5","10   4"
"F#:(1)/b5","0  6"
"Fb#:(1)/b5","11   5"
"F##:(1)/b5","11   5"
"G#:(1)/b5","2  8"
"Gb#:(1)/b5","1  7"
"G##:(1)/b5","1  7"
"A#:(1)/b5","4  10"
"Ab#:(1)/b5","3  9"
"A##:(1)/b5","3  9"
"B#:(1)/b5","6  0"
"Bb#:(1)/b5","5  11"
"B##:(1)/b5","5  11"
"C#:(1)/b6","9  1"
"Cb#:(1)/b6","8  0"
"C##:(1)/b6","8  0"
"D#:(1)/b6","11   3"
"Db#:(1)/b6","10   2"
"D##:(1)/b6","10   2"
"E#:(1)/b6","1  5"
"Eb#:(1)/b6","0  4"
"E##:(1)/b6","0  4"
"F#:(1)/b6","2  6"
"Fb#:(1)/b6","1  5"
"F##:(1)/b6","1  5"
"G#:(1)/b6","4  8"
"Gb#:(1)/b6","3  7"
"G##:(1)/b6","3  7"
"A#:(1)/b6","6  10"
"Ab#:(1)/b6","5  9"
"A##:(1)/b6","5  9"
"B#:(1)/b6","8  0"
"Bb#:(1)/b6","7  11"
"B##:(1)/b6","7  11"
"C#:(1)/b7","11   1"
"Cb#:(1)/b7","10   0"
"C##:(1)/b7","10   0"
"D#:(1)/b7","1  3"
"Db#:(1)/b7","0  2"
"D##:(1)/b7","0  2"
"E#:(1)/b7","3  5"
"Eb#:(1)/b7","2  4"
"E##:(1)/b7","2  4"
"F#:(1)/b7","4  6"
"Fb#:(1)/b7","3  5"
"F##:(1)/b7","3  5"
"G#:(1)/b7","6  8"
"Gb#:(1)/b7","5  7"
"G##:(1)/b7","5  7"
"A#:(1)/b7","8  10"
"Ab#:(1)/b7","7  9"
"A##:(1)/b7","7  9"
"B#:(1)/b7","10   0"
"Bb#:(1)/b7","9  11"
"B##:(1)/b7","9  11"
"C#:(1)/b9","2  1"
"Cb#:(1)/b9","1  0"
"C##:(1)/b9","1  0"
"D#:(1)/b9","4  3"
"Db#:(1)/b9","3  2"
"D##:(1)/b9","3  2"
"E#:(1)/b9","6  5"
"Eb#:(1)/b9","5  4"
"E##:(1)/b9","5  4"
"F#:(1)/b9","7  6"
"Fb#:(1)/b9","6  5"
"F##:(1)/b9","6  5"
"G#:(1)/b9","9  8"
"Gb#:(1)/b9","8  7"
"G##:(1)/b9","8  7"
"A#:(1)/b9","11  10"
"Ab#:(1)/b9","10   9"
"A##:(1)/b9","10   9"
"B#:(1)/b9","1  0"
"Bb#:(1)/b9","0  11"
"B##:(1)/b9","0  11"
"C#:(1)/#1","2  1"
"Cb#:(1)/#1","1  0"
"C##:(1)/#1","1  0"
"D#:(1)/#1","4  3"
"Db#:(1)/#1","3  2"
"D##:(1)/#1","3  2"
"E#:(1)/#1","6  5"
"Eb#:(1)/#1","5  4"
"E##:(1)/#1","5  4"
"F#:(1)/#1","7  6"
"Fb#:(1)/#1","6  5"
"F##:(1)/#1","6  5"
"G#:(1)/#1","9  8"
"Gb#:(1)/#1","8  7"
"G##:(1)/#1","8  7"
"A#:(1)/#1","11  10"
"Ab#:(1)/#1","10   9"
"A##:(1)/#1","10   9"
"B#:(1)/#1","1  0"
"Bb#:(1)/#1","0  11"
"B##:(1)/#1","0  11"
"C#:(1)/#2","4  1"
"Cb#:(1)/#2","3  0"
"C##:(1)/#2","3  0"
"D#:(1)/#2","6  3"
"Db#:(1)/#2","5  2"
"D##:(1)/#2","5  2"
"E#:(1)/#2","8  5"
"Eb#:(1)/#2","7  4"
"E##:(1)/#2","7  4"
"F#:(1)/#2","9  6"
"Fb#:(1)/#2","8  5"
"F##:(1)/#2","8  5"
"G#:(1)/#2","11   8"
"Gb#:(1)/#2","10   7"
"G##:(1)/#2","10   7"
"A#:(1)/#2","1  10"
"Ab#:(1)/#2","0  9"
"A##:(1)/#2","0  9"
"B#:(1)/#2","3  0"
"Bb#:(1)/#2","2  11"
"B##:(1)/#2","2  11"
"C#:(1)/#3","6  1"
"Cb#:(1)/#3","5  0"
"C##:(1)/#3","5  0"
"D#:(1)/#3","8  3"
"Db#:(1)/#3","7  2"
"D##:(1)/#3","7  2"
"E#:(1)/#3","10   5"
"Eb#:(1)/#3","9  4"
"E##:(1)/#3","9  4"
"F#:(1)/#3","11   6"
"Fb#:(1)/#3","10   5"
"F##:(1)/#3","10   5"
"G#:(1)/#3","1  8"
"Gb#:(1)/#3","0  7"
"G##:(1)/#3","0  7"
"A#:(1)/#3","3  10"
"Ab#:(1)/#3","2  9"
"A##:(1)/#3","2  9"
"B#:(1)/#3","5  0"
"Bb#:(1)/#3","4  11"
"B##:(1)/#3","4  11"
"C#:(1)/#4","7  1"
"Cb#:(1)/#4","6  0"
"C##:(1)/#4","6  0"
"D#:(1)/#4","9  3"
"Db#:(1)/#4","8  2"
"D##:(1)/#4","8  2"
"E#:(1)/#4","11   5"
"Eb#:(1)/#4","10   4"
"E##:(1)/#4","10   4"
"F#:(1)/#4","0  6"
"Fb#:(1)/#4","11   5"
"F##:(1)/#4","11   5"
"G#:(1)/#4","2  8"
"Gb#:(1)/#4","1  7"
"G##:(1)/#4","1  7"
"A#:(1)/#4","4  10"
"Ab#:(1)/#4","3  9"
"A##:(1)/#4","3  9"
"B#:(1)/#4","6  0"
"Bb#:(1)/#4","5  11"
"B##:(1)/#4","5  11"
"C#:(1)/#5","9  1"
"Cb#:(1)/#5","8  0"
"C##:(1)/#5","8  0"
"D#:(1)/#5","11   3"
"Db#:(1)/#5","10   2"
"D##:(1)/#5","10   2"
"E#:(1)/#5","1  5"
"Eb#:(1)/#5","0  4"
"E##:(1)/#5","0  4"
"F#:(1)/#5","2  6"
"Fb#:(1)/#5","1  5"
"F##:(1)/#5","1  5"
"G#:(1)/#5","4  8"
"Gb#:(1)/#5","3  7"
"G##:(1)/#5","3  7"
"A#:(1)/#5","6  10"
"Ab#:(1)/#5","5  9"
"A##:(1)/#5","5  9"
"B#:(1)/#5","8  0"
"Bb#:(1)/#5","7  11"
"B##:(1)/#5","7  11"
"C#:(1)/#6","11   1"
"Cb#:(1)/#6","10   0"
"C##:(1)/#6","10   0"
"D#:(1)/#6","1  3"
"Db#:(1)/#6","0  2"
"D##:(1)/#6","0  2"
"E#:(1)/#6","3  5"
"Eb#:(1)/#6","2  4"
"E##:(1)/#6","2  4"
"F#:(1)/#6","4  6"
"Fb#:(1)/#6","3  5"
"F##:(1)/#6","3  5"
"G#:(1)/#6","6  8"
"Gb#:(1)/#6","5  7"
"G##:(1)/#6","5  7"
"A#:(1)/#6","8  10"
"Ab#:(1)/#6","7  9"
"A##:(1)/#6","7  9"
"B#:(1)/#6","10   0"
"Bb#:(1)/#6","9  11"
"B##:(1)/#6","9  11"
"C#:(1)/#7","1  1"
"Cb#:(1)/#7","0  0"
"C##:(1)/#7","0  0"
"D#:(1)/#7","3  3"
"Db#:(1)/#7","2  2"
"D##:(1)/#7","2  2"
"E#:(1)/#7","5  5"
"Eb#:(1)/#7","4  4"
"E##:(1)/#7","4  4"
"F#:(1)/#7","6  6"
"Fb#:(1)/#7","5  5"
"F##:(1)/#7","5  5"
"G#:(1)/#7","8  8"
"Gb#:(1)/#7","7  7"
"G##:(1)/#7","7  7"
"A#:(1)/#7","10  10"
"Ab#:(1)/#7","9  9"
"A##:(1)/#7","9  9"
"B#:(1)/#7","0  0"
"Bb#:(1)/#7","11  11"
"B##:(1)/#7","11  11"
"C#:(1)/#9","4  1"
"Cb#:(1)/#9","3  0"
"C##:(1)/#9","3  0"
"D#:(1)/#9","6  3"
"Db#:(1)/#9","5  2"
"D##:(1)/#9","5  2"
"E#:(1)/#9","8  5"
"Eb#:(1)/#9","7  4"
"E##:(1)/#9","7  4"
"F#:(1)/#9","9  6"
"Fb#:(1)/#9","8  5"
"F##:(1)/#9","8  5"
"G#:(1)/#9","11   8"
"Gb#:(1)/#9","10   7"
"G##:(1)/#9","10   7"
"A#:(1)/#9","1  10"
"Ab#:(1)/#9","0  9"
"A##:(1)/#9","0  9"
"B#:(1)/#9","3  0"
"Bb#:(1)/#9","2  11"
"B##:(1)/#9","2  11"
"C:(1,2,4)","0"
"Cb:(1,2,4)","11"
"C#:(1,2,4)","1"
"D:(1,2,4)","2"
"Db:(1,2,4)","1"
"D#:(1,2,4)","3"
"E:(1,2,4)","4"
"Eb:(1,2,4)","3"
"E#:(1,2,4)","5"
"F:(1,2,4)","5"
"Fb:(1,2,4)","4"
"F#:(1,2,4)","6"
"G:(1,2,4)","7"
"Gb:(1,2,4)","6"
"G#:(1,2,4)","8"
"A:(1,2,4)","9"
"Ab:(1,2,4)","8"
"A#:(1,2,4)","10"
"B:(1,2,4)","11"
"Bb:(1,2,4)","10"
"B#:(1,2,4)","0"
"C:(1,2,4)/1","0  0"
"Cb:(1,2,4)/1","11  11"
"C#:(1,2,4)/1","1  1"
"D:(1,2,4)/1","2  2"
"Db:(1,2,4)/1","1  1"
"D#:(1,2,4)/1","3  3"
"E:(1,2,4)/1","4  4"
"Eb:(1,2,4)/1","3  3"
"E#:(1,2,4)/1","5  5"
"F:(1,2,4)/1","5  5"
"Fb:(1,2,4)/1","4  4"
"F#:(1,2,4)/1","6  6"
"G:(1,2,4)/1","7  7"
"Gb:(1,2,4)/1","6  6"
"G#:(1,2,4)/1","8  8"
"A:(1,2,4)/1","9  9"
"Ab:(1,2,4)/1","8  8"
"A#:(1,2,4)/1","10  10"
"B:(1,2,4)/1","11  11"
"Bb:(1,2,4)/1","10  10"
"B#:(1,2,4)/1","0  0"
"C:(1,2,4)/2","2  0"
"Cb:(1,2,4)/2","1  11"
"C#:(1,2,4)/2","3  1"
"D:(1,2,4)/2","4  2"
"Db:(1,2,4)/2","3  1"
"D#:(1,2,4)/2","5  3"
"E:(1,2,4)/2","6  4"
"Eb:(1,2,4)/2","5  3"
"E#:(1,2,4)/2","7  5"
"F:(1,2,4)/2","7  5"
"Fb:(1,2,4)/2","6  4"
"F#:(1,2,4)/2","8  6"
"G:(1,2,4)/2","9  7"
"Gb:(1,2,4)/2","8  6"
"G#:(1,2,4)/2","10   8"
"A:(1,2,4)/2","11   9"
"Ab:(1,2,4)/2","10   8"
"A#:(1,2,4)/2","0  10"
"B:(1,2,4)/2","1  11"
"Bb:(1,2,4)/2","0  10"
"B#:(1,2,4)/2","2  0"
"C:(1,2,4)/3","4  0"
"Cb:(1,2,4)/3","3  11"
"C#:(1,2,4)/3","5  1"
"D:(1,2,4)/3","6  2"
"Db:(1,2,4)/3","5  1"
"D#:(1,2,4)/3","7  3"
"E:(1,2,4)/3","8  4"
"Eb:(1,2,4)/3","7  3"
"E#:(1,2,4)/3","9  5"
"F:(1,2,4)/3","9  5"
"Fb:(1,2,4)/3","8  4"
"F#:(1,2,4)/3","10   6"
"G:(1,2,4)/3","11   7"
"Gb:(1,2,4)/3","10   6"
"G#:(1,2,4)/3","0  8"
"A:(1,2,4)/3","1  9"
"Ab:(1,2,4)/3","0  8"
"A#:(1,2,4)/3","2  10"
"B:(1,2,4)/3","3  11"
"Bb:(1,2,4)/3","2  10"
"B#:(1,2,4)/3","4  0"
"C:(1,2,4)/4","5  0"
"Cb:(1,2,4)/4","4  11"
"C#:(1,2,4)/4","6  1"
"D:(1,2,4)/4","7  2"
"Db:(1,2,4)/4","6  1"
"D#:(1,2,4)/4","8  3"
"E:(1,2,4)/4","9  4"
"Eb:(1,2,4)/4","8  3"
"E#:(1,2,4)/4","10   5"
"F:(1,2,4)/4","10   5"
"Fb:(1,2,4)/4","9  4"
"F#:(1,2,4)/4","11   6"
"G:(1,2,4)/4","0  7"
"Gb:(1,2,4)/4","11   6"
"G#:(1,2,4)/4","1  8"
"A:(1,2,4)/4","2  9"
"Ab:(1,2,4)/4","1  8"
"A#:(1,2,4)/4","3  10"
"B:(1,2,4)/4","4  11"
"Bb:(1,2,4)/4","3  10"
"B#:(1,2,4)/4","5  0"
"C:(1,2,4)/5","7  0"
"Cb:(1,2,4)/5","6  11"
"C#:(1,2,4)/5","8  1"
"D:(1,2,4)/5","9  2"
"Db:(1,2,4)/5","8  1"
"D#:(1,2,4)/5","10   3"
"E:(1,2,4)/5","11   4"
"Eb:(1,2,4)/5","10   3"
"E#:(1,2,4)/5","0  5"
"F:(1,2,4)/5","0  5"
"Fb:(1,2,4)/5","11   4"
"F#:(1,2,4)/5","1  6"
"G:(1,2,4)/5","2  7"
"Gb:(1,2,4)/5","1  6"
"G#:(1,2,4)/5","3  8"
"A:(1,2,4)/5","4  9"
"Ab:(1,2,4)/5","3  8"
"A#:(1,2,4)/5","5  10"
"B:(1,2,4)/5","6  11"
"Bb:(1,2,4)/5","5  10"
"B#:(1,2,4)/5","7  0"
"C:(1,2,4)/6","9  0"
"Cb:(1,2,4)/6","8  11"
"C#:(1,2,4)/6","10   1"
"D:(1,2,4)/6","11   2"
"Db:(1,2,4)/6","10   1"
"D#:(1,2,4)/6","0  3"
"E:(1,2,4)/6","1  4"
"Eb:(1,2,4)/6","0  3"
"E#:(1,2,4)/6","2  5"
"F:(1,2,4)/6","2  5"
"Fb:(1,2,4)/6","1  4"
"F#:(1,2,4)/6","3  6"
"G:(1,2,4)/6","4  7"
"Gb:(1,2,4)/6","3  6"
"G#:(1,2,4)/6","5  8"
"A:(1,2,4)/6","6  9"
"Ab:(1,2,4)/6","5  8"
"A#:(1,2,4)/6","7  10"
"B:(1,2,4)/6","8  11"
"Bb:(1,2,4)/6","7  10"
"B#:(1,2,4)/6","9  0"
"C:(1,2,4)/7","11   0"
"Cb:(1,2,4)/7","10  11"
"C#:(1,2,4)/7","0  1"
"D:(1,2,4)/7","1  2"
"Db:(1,2,4)/7","0  1"
"D#:(1,2,4)/7","2  3"
"E:(1,2,4)/7","3  4"
"Eb:(1,2,4)/7","2  3"
"E#:(1,2,4)/7","4  5"
"F:(1,2,4)/7","4  5"
"Fb:(1,2,4)/7","3  4"
"F#:(1,2,4)/7","5  6"
"G:(1,2,4)/7","6  7"
"Gb:(1,2,4)/7","5  6"
"G#:(1,2,4)/7","7  8"
"A:(1,2,4)/7","8  9"
"Ab:(1,2,4)/7","7  8"
"A#:(1,2,4)/7","9  10"
"B:(1,2,4)/7","10  11"
"Bb:(1,2,4)/7","9  10"
"B#:(1,2,4)/7","11   0"
"C:(1,2,4)/9","2  0"
"Cb:(1,2,4)/9","1  11"
"C#:(1,2,4)/9","3  1"
"D:(1,2,4)/9","4  2"
"Db:(1,2,4)/9","3  1"
"D#:(1,2,4)/9","5  3"
"E:(1,2,4)/9","6  4"
"Eb:(1,2,4)/9","5  3"
"E#:(1,2,4)/9","7  5"
